mun_mic_mes,Municipio_ID
"BacuriLitoral Ocidental MaranhenseNorte Maranhense",472
"BacuritubaLitoral Ocidental MaranhenseNorte Maranhense",473
"BalsasGerais de BalsasSul Maranhense",474
"Barão de GrajaúChapadas do Alto ItapecuruLeste Maranhense",475
"Barra do CordaAlto Mearim e GrajaúCentro Maranhense",476
"BarreirinhasLençóis MaranhensesNorte Maranhense",477
"Bela Vista do MaranhãoBaixada MaranhenseNorte Maranhense",478
"BeláguaChapadinhaLeste Maranhense",479
"Benedito LeiteChapadas das MangabeirasSul Maranhense",480
"BequimãoLitoral Ocidental MaranhenseNorte Maranhense",481
"Bernardo do MearimMédio MearimCentro Maranhense",482
"Boa Vista do GurupiGurupiOeste Maranhense",483
"Bom JardimPindaréOeste Maranhense",484
"Bom Jesus das SelvasPindaréOeste Maranhense",485
"Bom LugarMédio MearimCentro Maranhense",486
"BrejoChapadinhaLeste Maranhense",487
"Brejo de AreiaPindaréOeste Maranhense",488
"BuritiChapadinhaLeste Maranhense",489
"Buriti BravoCaxiasLeste Maranhense",490
"BuriticupuPindaréOeste Maranhense",491
"BuritiranaImperatrizOeste Maranhense",492
"Cachoeira GrandeRosárioNorte Maranhense",493
"CajapióLitoral Ocidental MaranhenseNorte Maranhense",494
"CajariBaixada MaranhenseNorte Maranhense",495
"Campestre do MaranhãoPorto FrancoSul Maranhense",496
"Cândido MendesGurupiOeste Maranhense",497
"CantanhedeItapecuru MirimNorte Maranhense",498
"Capinzal do NorteCodóLeste Maranhense",499
"CarolinaPorto FrancoSul Maranhense",500
"CarutaperaGurupiOeste Maranhense",501
"CaxiasCaxiasLeste Maranhense",502
"CedralLitoral Ocidental MaranhenseNorte Maranhense",503
"Central do MaranhãoLitoral Ocidental MaranhenseNorte Maranhense",504
"Centro do GuilhermeGurupiOeste Maranhense",505
"Centro Novo do MaranhãoGurupiOeste Maranhense",506
"ChapadinhaChapadinhaLeste Maranhense",507
"CidelândiaImperatrizOeste Maranhense",508
"CodóCodóLeste Maranhense",509
"Coelho NetoCoelho NetoLeste Maranhense",510
"ColinasChapadas do Alto ItapecuruLeste Maranhense",511
"Conceição do Lago-AçuBaixada MaranhenseNorte Maranhense",512
"CoroatáCodóLeste Maranhense",513
"CururupuLitoral Ocidental MaranhenseNorte Maranhense",514
"DavinópolisImperatrizOeste Maranhense",515
"Dom PedroPresidente DutraCentro Maranhense",516
"Duque BacelarCoelho NetoLeste Maranhense",517
"EsperantinópolisMédio MearimCentro Maranhense",518
"EstreitoPorto FrancoSul Maranhense",519
"Feira Nova do MaranhãoGerais de BalsasSul Maranhense",520
"Fernando FalcãoAlto Mearim e GrajaúCentro Maranhense",521
"Formosa da Serra NegraAlto Mearim e GrajaúCentro Maranhense",522
"Fortaleza dos NogueirasChapadas das MangabeirasSul Maranhense",523
"FortunaPresidente DutraCentro Maranhense",524
"Godofredo VianaGurupiOeste Maranhense",525
"Gonçalves DiasPresidente DutraCentro Maranhense",526
"Governador ArcherPresidente DutraCentro Maranhense",527
"Governador Edison LobãoImperatrizOeste Maranhense",528
"Governador Eugênio BarrosPresidente DutraCentro Maranhense",529
"Governador Luiz RochaPresidente DutraCentro Maranhense",530
"Governador Newton BelloPindaréOeste Maranhense",531
"Governador Nunes FreireGurupiOeste Maranhense",532
"Graça AranhaPresidente DutraCentro Maranhense",533
"GrajaúAlto Mearim e GrajaúCentro Maranhense",534
"GuimarãesLitoral Ocidental MaranhenseNorte Maranhense",535
"Humberto de CamposLençóis MaranhensesNorte Maranhense",536
"IcatuRosárioNorte Maranhense",537
"Igarapé do MeioBaixada MaranhenseNorte Maranhense",538
"Igarapé GrandeMédio MearimCentro Maranhense",539
"ImperatrizImperatrizOeste Maranhense",540
